Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2012-09-04,2500081,369811,409130,140416,400857,221541,27917
2012-09-11,2584886,385146,418027,136784,417485,228599,25275
2012-09-18,2567331,384596,416547,134384,438277,240933,26286
2012-09-25,2527807,362333,393782,145640,422032,216315,38553
2012-10-02,2526426,367184,387488,148209,415131,212405,46233
2012-10-09,2526868,353748,373081,150364,401452,213314,52310
2012-10-16,2553356,387659,406742,149168,402769,218600,52322
2012-10-23,2519741,394880,415265,155246,400492,208028,69688
2012-10-30,2550947,400074,419569,161617,393268,199249,76386
2012-11-06,2555522,389897,399376,158622,381505,199073,76764
2012-11-13,2184139,326952,341424,156529,372798,182454,82433
2012-11-20,2168334,323880,336156,156401,377918,188018,78170
2012-11-27,2186268,329399,344667,158805,375379,191157,75061
2012-12-04,2229544,336618,357887,159931,379139,196328,66798
2012-12-11,2239322,343932,355381,163076,376809,191979,90108
2012-12-18,2140858,315636,321723,156194,380850,195884,74833
2012-12-24,2136845,308034,316685,155389,386413,196637,61803
2012-12-31,2150236,298921,306513,153467,387999,196662,46769
2013-01-08,2171021,304759,310311,147906,400651,206204,38138
2013-01-15,2209399,311684,308850,137282,417766,213084,33835
2013-01-22,2171909,301128,290559,133717,432264,234581,28678
2013-01-29,2293185,315850,305010,125513,448225,241092,22488
2013-02-05,2355000,333805,317682,123321,458727,235553,23327
2013-02-12,2421262,343179,319465,122698,467721,241141,19607
2013-02-19,2348538,348539,308056,123639,476944,232271,24270
2013-02-26,2387362,348540,304653,127447,465060,210834,35623
2013-03-05,2443621,364890,324526,132072,441693,212198,44700
2013-03-12,2450196,351623,309930,134338,437864,217004,50060
2013-03-19,2328399,331630,290698,130160,429629,215422,43154
2013-03-26,2409883,359880,333125,128986,436461,232478,33349
2013-04-02,2482609,363974,341818,130160,445342,236522,31112
2013-04-09,2512815,381733,353926,136853,434263,228996,32666
2013-04-16,2561514,389616,355271,137260,421435,225010,41978
2013-04-23,2466579,375662,339076,139725,415341,241608,59200
2013-04-30,2542337,405661,362478,131438,418302,245648,51686
2013-05-07,2570699,423849,375029,121021,428063,245307,40773
2013-05-14,2549679,414506,370487,117594,432089,243971,38831
2013-05-21,2441658,404479,364864,109478,443454,267180,35386
2013-05-28,2450783,407866,368715,113933,438450,256161,38630
2013-06-04,2455320,397573,357557,115567,433630,253589,41462
2013-06-11,2527563,408376,377439,115802,448151,264879,32606
2013-06-18,2562432,416550,377960,112666,478292,288746,26507
2013-06-25,2502066,423372,385506,118072,462743,260243,28049
2013-07-02,2510219,432099,391382,115316,482318,291656,28013
2013-07-09,2672983,441204,391128,113772,515921,310552,28634
2013-07-16,2797224,445744,388310,111778,548196,330978,26595
2013-07-23,2696544,451561,396378,106772,569597,359959,25865
2013-07-30,2644209,430298,369078,104060,567750,348164,29345
2013-08-06,2716709,448659,386208,112947,574422,343774,32947
2013-08-13,2806443,482603,422839,120853,573303,344720,35934
2013-08-20,2584183,423878,358165,124344,577469,339265,36503
2013-08-27,2668947,426989,368803,127470,594107,352663,35140
2013-09-03,2693379,419332,362757,128359,591139,339135,33164
2013-09-10,2731451,435207,377895,128464,582549,328435,38377
2013-09-17,2661427,434248,378394,132211,569371,316094,35135
2013-09-24,2625559,444892,395495,128399,556345,302446,27348
2013-10-01,2605052,434125,390557,131349,545751,283878,29476
2013-10-08,2639895,435460,395037,132968,543117,283670,29833
2013-10-15,2589731,426485,383047,135467,534015,276331,30019
2013-10-22,2494795,408216,369709,138774,533161,282909,31188
2013-10-29,2480930,443439,413985,140862,514344,277966,34010
2013-11-05,2463303,396813,366935,136190,518349,275266,41416
2013-11-12,2449478,383337,347798,137997,523470,274090,50357
2013-11-19,2102070,350819,315720,144129,527425,275597,38887
2013-11-26,2128224,333189,303546,145876,520401,273257,44438
2013-12-03,2156567,329435,306882,144687,523235,287518,40857
2013-12-10,2202455,333610,310382,144611,542228,282534,30335
2013-12-17,2114966,332266,315717,136965,530917,289218,36308
2013-12-24,2094352,325542,312560,137607,541324,293096,29131
2013-12-31,2122114,319419,311985,135639,540185,299360,28974
2014-01-07,2167677,322602,317042,139297,526187,291373,44196
2014-01-14,2198151,305581,307511,140913,512161,284307,54585
2014-01-21,2124496,307818,310075,143988,508474,294921,64418
2014-01-28,2139330,297631,309712,145975,516401,306886,46604
2014-02-04,2124340,294110,310062,143038,521653,311829,35898
2014-02-11,2240807,322067,343774,137124,539407,329612,23591
2014-02-18,2177682,310706,334342,135565,555753,352401,20544
2014-02-25,2202169,306160,336959,130938,556678,360868,21816
2014-03-04,2288425,317255,353874,128894,560328,368360,21891
2014-03-11,2300776,332206,366532,126246,548034,357628,29533
2014-03-18,2142396,322190,346846,125214,524657,334104,31784
2014-03-25,2128861,311670,346163,126853,523251,331998,38595
2014-04-01,2189406,336370,377691,132360,523176,338659,37738
2014-04-08,2236855,343610,395395,133813,527524,354743,23687
2014-04-15,2288390,351985,408651,133124,532077,365619,24142
2014-04-22,2181373,321517,383334,130854,520951,359346,25555
2014-04-29,2222488,322544,386153,131864,511829,361183,30472
2014-05-06,2204121,315384,376755,135822,491695,326808,27265
