Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2010-06-29,2590346,342389,543975,264685,169461,171949,98649
2010-07-06,2644593,338489,531436,263046,171937,157267,106764
2010-07-13,2624123,346746,550686,276833,179214,172165,87710
2010-07-20,2485110,319139,513138,276180,189468,171122,75470
2010-07-27,2540817,320106,523794,269397,190728,172986,63118
2010-08-03,2578774,323296,527733,268968,202754,201351,65518
2010-08-10,2618859,345474,551334,253373,203932,191986,61081
2010-08-17,2540446,339564,550162,245613,198748,184260,69805
2010-08-24,2577819,317399,519337,253566,190230,179640,97616
2010-08-31,2656537,338386,520236,253054,186958,190583,111888
2010-09-07,2690039,387489,561804,249748,194560,189944,104987
2010-09-14,2690370,384798,564029,231230,202523,208277,85668
2010-09-21,2625167,353055,519324,215606,204969,200613,94290
2010-09-28,2649955,369117,531435,202405,205530,207581,90675
2010-10-05,2782936,389916,548987,195530,238932,239759,71219
2010-10-12,2824648,421949,569414,186627,260933,242924,64186
2010-10-19,2762355,412960,553199,195463,265531,229684,66043
2010-10-26,2720853,379966,538634,205578,261364,238355,59531
2010-11-02,2775978,381018,548707,217235,271651,256210,62082
2010-11-09,2857598,405573,576694,220181,285894,266497,57582
2010-11-16,2403506,348686,504886,209788,293790,236244,57847
2010-11-23,2369369,335366,472267,219772,290695,215461,75718
2010-11-30,2389568,345879,482076,213957,294277,217631,53427
2010-12-07,2489980,361229,515221,217335,308627,255046,48239
2010-12-14,2479732,349259,518886,220119,288841,248276,42386
2010-12-21,2401391,353513,527274,224750,289706,251220,43752
2010-12-28,2464805,366387,544345,221162,292285,260452,43406
2011-01-04,2564052,382334,538248,215540,301625,246428,59020
2011-01-11,2638422,391212,564802,220799,308184,259688,49919
2011-01-18,2585256,397347,567917,216767,315399,256696,46132
2011-01-25,2630366,414578,577592,213510,300362,223499,51486
2011-02-01,2774740,414905,600052,231762,309037,251759,49818
2011-02-08,2779170,424615,619085,226588,326653,241623,39240
2011-02-15,2803419,407890,616840,230508,308872,229569,44333
2011-02-22,2756990,380508,606735,233856,327902,277127,36555
2011-03-01,2940658,366685,622452,225422,353408,323981,18573
2011-03-08,3100337,373585,628863,226719,362555,331659,20027
2011-03-15,2998986,362142,603308,218458,353894,293715,22753
2011-03-22,2880676,344622,589637,227867,358352,306990,20178
2011-03-29,2879966,346423,582946,227535,358105,315643,23577
2011-04-05,2996603,360471,588953,225932,367356,325762,20465
2011-04-12,3038315,362554,585441,224642,367363,303868,22289
2011-04-19,2885713,356493,585890,220749,359544,312733,22817
2011-04-26,2961133,369498,593751,219269,365607,319585,18467
2011-05-03,3041355,395417,613830,216891,360996,314696,20873
2011-05-10,3090401,404347,617137,230638,333495,287379,31666
2011-05-17,2761626,349064,562635,236001,307766,251593,30028
2011-05-24,2716007,328667,546680,241851,306453,257293,31616
2011-05-31,2716656,328853,530662,232195,308893,258039,33598
2011-06-07,2721808,339707,534154,235255,302018,241459,50485
2011-06-14,2793731,353916,540095,235474,303577,247793,53421
2011-06-21,2694717,341856,532064,246228,285896,228813,61343
2011-06-28,2701051,342986,522502,256284,276563,223980,70832
2011-07-05,2699887,358892,529113,250928,276874,228532,63041
2011-07-12,2730553,360172,538319,239689,276944,231437,62604
2011-07-19,2624612,340211,529653,236376,280280,243107,60822
2011-07-26,2652034,348613,534649,236274,290455,250645,59222
2011-08-02,2703641,350639,534243,231744,276832,235396,75145
2011-08-09,3009641,385168,569501,233392,266021,218694,75756
2011-08-16,2912257,386676,559195,229593,247327,217545,74776
2011-08-23,2705135,365309,543710,229840,247886,219170,75975
2011-08-30,2738482,378114,555379,220498,253606,221044,59427
2011-09-06,2779575,383901,564061,217940,260600,221269,65432
2011-09-13,2735324,384801,548990,205113,268746,229695,50148
2011-09-20,2572794,344029,500135,206255,270226,222199,55022
2011-09-27,2630468,335664,482080,204025,259156,217271,62417
2011-10-04,2794587,373319,498499,191802,259391,215051,68747
2011-10-11,2731547,369376,497939,191387,258882,212632,54939
2011-10-18,2662483,354924,496902,207591,266646,224335,52957
2011-10-25,2625791,320606,464437,197463,274446,245037,47757
2011-11-01,2556137,308826,446205,189549,279858,234662,44446
2011-11-08,2604460,319114,461250,195871,290112,246482,42517
2011-11-15,2252017,244700,399147,213209,300624,254573,38498
2011-11-22,2225957,232235,367096,204446,313982,228925,39237
2011-11-29,2243121,245299,379272,203301,309369,229006,34311
2011-12-06,2297224,240086,371961,196735,319521,232015,29280
2011-12-13,2320348,241783,374294,197085,313991,235993,35007
2011-12-20,2207528,237345,357617,199550,302601,217798,38917
2011-12-27,2241970,239642,358211,199836,309871,231779,39313
2012-01-03,2319687,250584,364433,192635,319656,239048,38741
2012-01-10,2349475,273039,386301,180119,335964,234261,32589
2012-01-17,2270314,274927,375595,172208,348404,225076,31111
2012-01-24,2245237,254410,354479,165430,343463,231325,27281
2012-01-31,2320615,276264,376562,167925,344152,230148,28879
2012-02-07,2431316,333452,426889,160547,347244,232568,26859
2012-02-14,2451821,322779,419073,144678,357748,254964,21075
2012-02-21,2380079,287197,381685,134491,378645,275568,16406
2012-02-28,2499297,318631,415785,127135,401094,284800,12768
2012-03-06,2584822,349505,436408,126182,397103,276600,24382
2012-03-13,2594154,339747,429119,134644,410846,286494,28088
2012-03-20,2519969,342102,427736,134975,404261,273731,25904
2012-03-27,2537317,349676,438261,140425,399804,265914,24547
2012-04-03,2534404,355498,438681,142688,385917,244503,27816
2012-04-10,2532271,364548,436960,142397,377247,227969,36142
2012-04-17,2482217,354425,431059,154253,384492,224120,24816
2012-04-24,2446824,341075,418953,156145,380110,218838,22412
2012-05-01,2539082,345430,432685,157476,391375,241141,21324
2012-05-08,2554593,348901,420461,164409,366998,197554,49562
2012-05-15,2532665,336361,404784,163143,364781,187144,47962
2012-05-22,2280184,302248,364862,169530,356573,184013,47262
2012-05-29,2306964,298943,361677,171193,349730,183559,46975
2012-06-05,2442800,307410,365547,168522,333267,184477,51428
2012-06-12,2488357,303603,368795,173150,321899,182187,51679
2012-06-19,2350268,307806,371904,174823,308836,179471,56656
2012-06-26,2427520,313117,379239,180483,306743,181520,57503
2012-07-03,2448998,318246,387597,174668,307047,190812,55801
2012-07-10,2431979,329898,400426,172379,310790,184539,56447
2012-07-17,2314121,309365,372692,170425,314118,189772,56607
2012-07-24,2315500,311110,377834,158287,323343,190320,49684
2012-07-31,2322089,323298,377785,157096,326575,188741,51707
2012-08-07,2413351,342750,394829,149049,341498,206646,42660
2012-08-14,2429385,349924,394774,149309,346675,193139,40917
2012-08-21,2384839,339006,391626,148197,372672,215131,35605
2012-08-28,2468937,367520,414569,144470,398643,220946,28475
